SKU,日期,销量,渠道
SKU001,2024-02-29,48,独立站
SKU002,2024-02-29,67,亚马逊
SKU002,2024-02-29,27,独立站
SKU003,2024-02-29,165,亚马逊
SKU003,2024-02-29,73,独立站
SKU001,2024-03-01,120,亚马逊
SKU001,2024-03-01,54,独立站
SKU002,2024-03-01,82,亚马逊
SKU002,2024-03-01,37,独立站
SKU003,2024-03-01,207,亚马逊
SKU003,2024-03-01,90,独立站
SKU001,2024-03-02,117,亚马逊
SKU001,2024-03-02,54,独立站
SKU002,2024-03-02,83,亚马逊
SKU002,2024-03-02,36,独立站
SKU003,2024-03-02,197,亚马逊
SKU003,2024-03-02,87,独立站
SKU001,2024-03-03,119,亚马逊
SKU001,2024-03-03,55,独立站
SKU002,2024-03-03,83,亚马逊
SKU002,2024-03-03,38,独立站
SKU003,2024-03-03,203,亚马逊
SKU003,2024-03-03,87,独立站
SKU001,2024-03-04,119,亚马逊
SKU001,2024-03-04,57,独立站
SKU002,2024-03-04,74,亚马逊
SKU002,2024-03-04,32,独立站
SKU003,2024-03-04,169,亚马逊
SKU003,2024-03-04,80,独立站
SKU001,2024-03-05,113,亚马逊
SKU001,2024-03-05,61,独立站
SKU002,2024-03-05,84,亚马逊
SKU002,2024-03-05,37,独立站
SKU003,2024-03-05,171,亚马逊
SKU003,2024-03-05,84,独立站
SKU001,2024-03-06,149,亚马逊
SKU001,2024-03-06,66,独立站
SKU002,2024-03-06,77,亚马逊
SKU002,2024-03-06,33,独立站
SKU003,2024-03-06,201,亚马逊
SKU003,2024-03-06,84,独立站
SKU001,2024-03-07,106,亚马逊
SKU001,2024-03-07,46,独立站
SKU002,2024-03-07,84,亚马逊
SKU002,2024-03-07,35,独立站
SKU003,2024-03-07,169,亚马逊
SKU003,2024-03-07,90,独立站
SKU001,2024-03-08,110,亚马逊
SKU001,2024-03-08,54,独立站
SKU002,2024-03-08,79,亚马逊
SKU002,2024-03-08,37,独立站
SKU003,2024-03-08,222,亚马逊
SKU003,2024-03-08,92,独立站
SKU001,2024-03-09,115,亚马逊
SKU001,2024-03-09,57,独立站
SKU002,2024-03-09,105,亚马逊
SKU002,2024-03-09,40,独立站
SKU003,2024-03-09,189,亚马逊
SKU003,2024-03-09,67,独立站
SKU001,2024-03-10,130,亚马逊
SKU001,2024-03-10,57,独立站
SKU002,2024-03-10,69,亚马逊
SKU002,2024-03-10,35,独立站
SKU003,2024-03-10,184,亚马逊
SKU003,2024-03-10,86,独立站
SKU001,2024-03-11,134,亚马逊
SKU001,2024-03-11,49,独立站
SKU002,2024-03-11,77,亚马逊
SKU002,2024-03-11,31,独立站
SKU003,2024-03-11,193,亚马逊
SKU003,2024-03-11,94,独立站
SKU001,2024-03-12,138,亚马逊
SKU001,2024-03-12,56,独立站
SKU002,2024-03-12,71,亚马逊
SKU002,2024-03-12,36,独立站
SKU003,2024-03-12,204,亚马逊
SKU003,2024-03-12,90,独立站
SKU001,2024-03-13,154,亚马逊
SKU001,2024-03-13,52,独立站
SKU002,2024-03-13,74,亚马逊
SKU002,2024-03-13,39,独立站
SKU003,2024-03-13,187,亚马逊
SKU003,2024-03-13,97,独立站
SKU001,2024-03-14,123,亚马逊
SKU001,2024-03-14,52,独立站
SKU002,2024-03-14,95,亚马逊
SKU002,2024-03-14,39,独立站
SKU003,2024-03-14,182,亚马逊
SKU003,2024-03-14,90,独立站
SKU001,2024-03-15,140,亚马逊
SKU001,2024-03-15,59,独立站
SKU002,2024-03-15,85,亚马逊
SKU002,2024-03-15,34,独立站
SKU003,2024-03-15,180,亚马逊
SKU003,2024-03-15,94,独立站
SKU001,2024-03-16,142,亚马逊
SKU001,2024-03-16,64,独立站
SKU002,2024-03-16,79,亚马逊
SKU002,2024-03-16,43,独立站
SKU003,2024-03-16,212,亚马逊
SKU003,2024-03-16,83,独立站
SKU001,2024-03-17,140,亚马逊
SKU001,2024-03-17,58,独立站
SKU002,2024-03-17,96,亚马逊
SKU002,2024-03-17,40,独立站
SKU003,2024-03-17,176,亚马逊
SKU003,2024-03-17,87,独立站
SKU001,2024-03-18,108,亚马逊
SKU001,2024-03-18,55,独立站
SKU002,2024-03-18,86,亚马逊
SKU002,2024-03-18,42,独立站
SKU003,2024-03-18,176,亚马逊
SKU003,2024-03-18,94,独立站
SKU001,2024-03-19,142,亚马逊
SKU001,2024-03-19,50,独立站
SKU002,2024-03-19,76,亚马逊
SKU002,2024-03-19,38,独立站
SKU003,2024-03-19,218,亚马逊
SKU003,2024-03-19,89,独立站
SKU001,2024-03-20,134,亚马逊
SKU001,2024-03-20,59,独立站
SKU002,2024-03-20,77,亚马逊
SKU002,2024-03-20,38,独立站
SKU003,2024-03-20,191,亚马逊
SKU003,2024-03-20,94,独立站
SKU001,2024-03-21,131,亚马逊
SKU001,2024-03-21,73,独立站
SKU002,2024-03-21,101,亚马逊
SKU002,2024-03-21,39,独立站
SKU003,2024-03-21,214,亚马逊
SKU003,2024-03-21,77,独立站
SKU001,2024-03-22,138,亚马逊
SKU001,2024-03-22,59,独立站
SKU002,2024-03-22,109,亚马逊
SKU002,2024-03-22,47,独立站
SKU003,2024-03-22,186,亚马逊
SKU003,2024-03-22,71,独立站
SKU001,2024-03-23,137,亚马逊
SKU001,2024-03-23,55,独立站
SKU002,2024-03-23,81,亚马逊
SKU002,2024-03-23,38,独立站
SKU003,2024-03-23,185,亚马逊
SKU003,2024-03-23,88,独立站
SKU001,2024-03-24,113,亚马逊
SKU001,2024-03-24,48,独立站
SKU002,2024-03-24,79,亚马逊
SKU002,2024-03-24,36,独立站
SKU003,2024-03-24,192,亚马逊
SKU003,2024-03-24,83,独立站
SKU001,2024-03-25,124,亚马逊
SKU001,2024-03-25,45,独立站
SKU002,2024-03-25,90,亚马逊
SKU002,2024-03-25,39,独立站
SKU003,2024-03-25,168,亚马逊
SKU003,2024-03-25,94,独立站
SKU001,2024-03-26,123,亚马逊
SKU001,2024-03-26,54,独立站
SKU002,2024-03-26,81,亚马逊
SKU002,2024-03-26,42,独立站
SKU003,2024-03-26,178,亚马逊
SKU003,2024-03-26,75,独立站
SKU001,2024-03-27,135,亚马逊
SKU001,2024-03-27,49,独立站
SKU002,2024-03-27,92,亚马逊
SKU002,2024-03-27,36,独立站
SKU003,2024-03-27,158,亚马逊
SKU003,2024-03-27,71,独立站
SKU001,2024-03-28,128,亚马逊
SKU001,2024-03-28,55,独立站
SKU002,2024-03-28,83,亚马逊
SKU002,2024-03-28,33,独立站
SKU003,2024-03-28,159,亚马逊
SKU003,2024-03-28,71,独立站
SKU001,2024-03-29,121,亚马逊
SKU001,2024-03-29,55,独立站
SKU002,2024-03-29,88,亚马逊
SKU002,2024-03-29,43,独立站
SKU003,2024-03-29,197,亚马逊
SKU003,2024-03-29,74,独立站
SKU001,2024-03-30,120,亚马逊
SKU001,2024-03-30,54,独立站
SKU002,2024-03-30,101,亚马逊
SKU002,2024-03-30,38,独立站
SKU003,2024-03-30,211,亚马逊
SKU003,2024-03-30,78,独立站
SKU001,2024-03-31,118,亚马逊
SKU001,2024-03-31,52,独立站
SKU002,2024-03-31,79,亚马逊
SKU002,2024-03-31,31,独立站
SKU003,2024-03-31,194,亚马逊
SKU003,2024-03-31,95,独立站
SKU001,2024-04-01,139,亚马逊
SKU001,2024-04-01,52,独立站
SKU002,2024-04-01,89,亚马逊
SKU002,2024-04-01,34,独立站
SKU003,2024-04-01,192,亚马逊
SKU003,2024-04-01,77,独立站
SKU001,2024-04-02,112,亚马逊
SKU001,2024-04-02,58,独立站
SKU002,2024-04-02,109,亚马逊
SKU002,2024-04-02,38,独立站
SKU003,2024-04-02,226,亚马逊
SKU003,2024-04-02,94,独立站
SKU001,2024-04-03,144,亚马逊
SKU001,2024-04-03,54,独立站
SKU002,2024-04-03,97,亚马逊
SKU002,2024-04-03,37,独立站
SKU003,2024-04-03,161,亚马逊
SKU003,2024-04-03,85,独立站
SKU001,2024-04-04,124,亚马逊
SKU001,2024-04-04,55,独立站
SKU002,2024-04-04,80,亚马逊
SKU002,2024-04-04,45,独立站
SKU003,2024-04-04,191,亚马逊
SKU003,2024-04-04,89,独立站
SKU001,2024-04-05,135,亚马逊
SKU001,2024-04-05,60,独立站
SKU002,2024-04-05,95,亚马逊
SKU002,2024-04-05,41,独立站
SKU003,2024-04-05,193,亚马逊
SKU003,2024-04-05,103,独立站
SKU001,2024-04-06,123,亚马逊
SKU001,2024-04-06,45,独立站
SKU002,2024-04-06,76,亚马逊
SKU002,2024-04-06,38,独立站
SKU003,2024-04-06,189,亚马逊
SKU003,2024-04-06,84,独立站
SKU001,2024-04-07,123,亚马逊
SKU001,2024-04-07,53,独立站
SKU002,2024-04-07,87,亚马逊
SKU002,2024-04-07,36,独立站
SKU003,2024-04-07,226,亚马逊
SKU003,2024-04-07,104,独立站
SKU001,2024-04-08,112,亚马逊
SKU001,2024-04-08,52,独立站
SKU002,2024-04-08,98,亚马逊
SKU002,2024-04-08,35,独立站
SKU003,2024-04-08,222,亚马逊
SKU003,2024-04-08,108,独立站
SKU001,2024-04-09,121,亚马逊
SKU001,2024-04-09,51,独立站
SKU002,2024-04-09,96,亚马逊
SKU002,2024-04-09,38,独立站
SKU003,2024-04-09,207,亚马逊
SKU003,2024-04-09,105,独立站
SKU001,2024-04-10,133,亚马逊
SKU001,2024-04-10,63,独立站
SKU002,2024-04-10,93,亚马逊
SKU002,2024-04-10,36,独立站
SKU003,2024-04-10,182,亚马逊
SKU003,2024-04-10,87,独立站
SKU001,2024-04-11,159,亚马逊
SKU001,2024-04-11,65,独立站
SKU002,2024-04-11,100,亚马逊
SKU002,2024-04-11,45,独立站
SKU003,2024-04-11,200,亚马逊
SKU003,2024-04-11,92,独立站
SKU001,2024-04-12,127,亚马逊
SKU001,2024-04-12,61,独立站
SKU002,2024-04-12,104,亚马逊
SKU002,2024-04-12,34,独立站
SKU003,2024-04-12,213,亚马逊
SKU003,2024-04-12,92,独立站
SKU001,2024-04-13,166,亚马逊
SKU001,2024-04-13,62,独立站
SKU002,2024-04-13,86,亚马逊
SKU002,2024-04-13,43,独立站
SKU003,2024-04-13,174,亚马逊
SKU003,2024-04-13,89,独立站
SKU001,2024-04-14,117,亚马逊
SKU001,2024-04-14,60,独立站
SKU002,2024-04-14,85,亚马逊
SKU002,2024-04-14,41,独立站
SKU003,2024-04-14,202,亚马逊
SKU003,2024-04-14,93,独立站
SKU001,2024-04-15,127,亚马逊
SKU001,2024-04-15,59,独立站
SKU002,2024-04-15,85,亚马逊
SKU002,2024-04-15,34,独立站
SKU003,2024-04-15,237,亚马逊
SKU003,2024-04-15,78,独立站
SKU001,2024-04-16,156,亚马逊
SKU001,2024-04-16,64,独立站
SKU002,2024-04-16,112,亚马逊
SKU002,2024-04-16,40,独立站
SKU003,2024-04-16,194,亚马逊
SKU003,2024-04-16,87,独立站
SKU001,2024-04-17,166,亚马逊
SKU001,2024-04-17,73,独立站
SKU002,2024-04-17,86,亚马逊
SKU002,2024-04-17,40,独立站
SKU003,2024-04-17,203,亚马逊
SKU003,2024-04-17,83,独立站
SKU001,2024-04-18,118,亚马逊
SKU001,2024-04-18,49,独立站
SKU002,2024-04-18,74,亚马逊
SKU002,2024-04-18,31,独立站
SKU003,2024-04-18,195,亚马逊
SKU003,2024-04-18,91,独立站
SKU001,2024-04-19,128,亚马逊
SKU001,2024-04-19,68,独立站
SKU002,2024-04-19,110,亚马逊
SKU002,2024-04-19,41,独立站
SKU003,2024-04-19,207,亚马逊
SKU003,2024-04-19,77,独立站
SKU001,2024-04-20,143,亚马逊
SKU001,2024-04-20,59,独立站
SKU002,2024-04-20,86,亚马逊
SKU002,2024-04-20,36,独立站
SKU003,2024-04-20,211,亚马逊
SKU003,2024-04-20,79,独立站
SKU001,2024-04-21,115,亚马逊
SKU001,2024-04-21,65,独立站
SKU002,2024-04-21,105,亚马逊
SKU002,2024-04-21,38,独立站
SKU003,2024-04-21,213,亚马逊
SKU003,2024-04-21,76,独立站
SKU001,2024-04-22,143,亚马逊
SKU001,2024-04-22,61,独立站
SKU002,2024-04-22,73,亚马逊
SKU002,2024-04-22,39,独立站
SKU003,2024-04-22,218,亚马逊
SKU003,2024-04-22,95,独立站
SKU001,2024-04-23,149,亚马逊
SKU001,2024-04-23,62,独立站
SKU002,2024-04-23,83,亚马逊
SKU002,2024-04-23,39,独立站
SKU003,2024-04-23,219,亚马逊
SKU003,2024-04-23,90,独立站
SKU001,2024-04-24,120,亚马逊
SKU001,2024-04-24,54,独立站
SKU002,2024-04-24,107,亚马逊
SKU002,2024-04-24,38,独立站
SKU003,2024-04-24,201,亚马逊
SKU003,2024-04-24,89,独立站
SKU001,2024-04-25,162,亚马逊
SKU001,2024-04-25,60,独立站
SKU002,2024-04-25,89,亚马逊
SKU002,2024-04-25,45,独立站
SKU003,2024-04-25,246,亚马逊
SKU003,2024-04-25,101,独立站
SKU001,2024-04-26,153,亚马逊
SKU001,2024-04-26,65,独立站
SKU002,2024-04-26,97,亚马逊
SKU002,2024-04-26,43,独立站
SKU003,2024-04-26,190,亚马逊
SKU003,2024-04-26,92,独立站
SKU001,2024-04-27,125,亚马逊
SKU001,2024-04-27,65,独立站
SKU002,2024-04-27,78,亚马逊
SKU002,2024-04-27,36,独立站
SKU003,2024-04-27,226,亚马逊
SKU003,2024-04-27,107,独立站
SKU001,2024-04-28,131,亚马逊
SKU001,2024-04-28,54,独立站
SKU002,2024-04-28,103,亚马逊
SKU002,2024-04-28,36,独立站
SKU003,2024-04-28,234,亚马逊
SKU003,2024-04-28,84,独立站
SKU001,2024-04-29,157,亚马逊
SKU001,2024-04-29,73,独立站
SKU002,2024-04-29,83,亚马逊
SKU002,2024-04-29,40,独立站
SKU003,2024-04-29,178,亚马逊
SKU003,2024-04-29,90,独立站
SKU001,2024-04-30,128,亚马逊
SKU001,2024-04-30,70,独立站
SKU002,2024-04-30,95,亚马逊
SKU002,2024-04-30,40,独立站
SKU003,2024-04-30,211,亚马逊
SKU003,2024-04-30,72,独立站
SKU001,2024-05-01,117,亚马逊
SKU001,2024-05-01,55,独立站
SKU002,2024-05-01,103,亚马逊
SKU002,2024-05-01,41,独立站
SKU003,2024-05-01,183,亚马逊
SKU003,2024-05-01,96,独立站
SKU001,2024-05-02,109,亚马逊
SKU001,2024-05-02,56,独立站
SKU002,2024-05-02,81,亚马逊
